SD_SUB_SYSTEM,Discipline_Name,ITEM_Tag_NO,ITEM_Type_Code,HP_Priority,HP_Description,HP_Location
3000-02,PI,3000-02-BFW-01-805,PI_TP,,LG-3043 & 3044/1|2,
3000-02,PI,3000-02-BFW-02-806,PI_TP,,LG-3043 & 3044/1|2,
3000-02,PI,3000-02-SG-18-1170,PI_TP,,,
3000-02,PI,3000-02-VA-04-754,PI_TP,,LG-3043 & 3044/1|2,
3000-02,PI,3000-02-VA-05-755,PI_TP,,LG-3043 & 3044/1|2,
4000-06,PI,4000-06-AC-12-1123,PI_TP,,10603QV-1/2_PIPe_(0.76) / 306643F-1/2_Elbow_(4) / B42/BFTX330-4x1/2_olet_(1) / B42/EKVB70A-1/2_Valve_(1),
4000-06,PI,4000-06-AC-13-1124,PI_TP,,210101F-1_Flange_(6) / DV-75153A-1_valve_(1) / DV-75153B-1__(1),
4000-06,PI,4000-06-CS-16-1125,PI_TP,,216201V-1/2_Flange_(2) / CHV-75154A-1.1/2_Valve_(1) / CHV-75154B-1_Valve_(1) / DV-75157A-1.1/2_Valve_(2) / DV-75158B-1.1/2_Valve_(1) / UV-75165-1.1/2_Valve_(1),
4000-06,PI,4000-06-DMW-29-1084,PI_TP,,FT-75150A-8_-_(1) / FV-75150A-6_Valve_(1) / ORF-300.RT-8_Flange_(1),
4000-06,PI,4000-06-DMW-30-1085,PI_TP,,49642QU-3_Flange_(3) / B40/AARE200-4x3_Reducer_(1) / B40/ADFQBDB-4_Flange_(2) / BUV-75161-4_Valve_(1) / CHV-75155-3_Valve_(1) / CHV-75157-3_Valve_(1) / FV-75151-3_valve_(1),
4000-06,PI,4000-06-DMW-31-1086,PI_TP,,B40/EKVB70A-1/2_Valve_(5) / B42/EKVB70A-1/2_Valve_(3) / BUV-75152A-8_Valve_(1) / UV-75150A-8_Valve_(2),
4000-06,PI,4000-06-VA-02-1111,PI_TP,,BAV-75150-3/4_Valve_(1) / PSV-75151A-1_Valve_(1) // 1404/10/01,
4000-06,PI,4000-06-VA-03-1112,PI_TP,,BAV-75150-3/4_Valve_(1) / PSV-75151B-1_Valve_(1) // 1404/10/01,
4000-06,PI,4000-06-VA-04-1113,PI_TP,,HOLD SEQ T.P 1111 &1112,
4000-08,PI,4000-08-AIR-02-1115,PI_TP,,CHV-101C-6_Valve_(1) / عدم نصب تجهیز FI-8001C,
4000-08,PI,4000-08-AIR-03-1116,PI_TP,,CHV-101A-6_Valve_(1),
4000-08,PI,4000-08-CWR-33-273,PI_TP,,EQUIPMENT-SC-5218,
4000-08,PI,4000-08-CWS-88-1093,PI_TP,,BV-103A-2_Valve_(1) / XV-8007-2_valve_(1)عدم نصب تجهیز FI-8001A و کسری متریال,
4000-08,PI,4000-08-CWS-90-1095,PI_TP,,BV-103C-2_Valve_(1) / XV-8021-2_valve_(1)عدم نصب تجهیز FI-8001Cو کسری متریال,
4000-08,PI,4000-08-CWS-91-1096,PI_TP,,HOLD(FI-8001A),
4000-08,PI,4000-08-CWS-92-1097,PI_TP,,BV-104A-4_Valve_(1) / BV-104B-4_Valve_(1) / RO-8002-8_ORIFICE PLATE_(1) / RO-8003-8_ORIFICE PLATE_(1) / XV-8016-8_valve_(1)عدم نصب تجهیز FI-8001Aو کسری متریال,
4000-08,PI,4000-08-CWS-93-1098,PI_TP,,GV-101A-2_Valve_(1) / GV-101B-2_Valve_(1) / GV-101C-2_Valve_(1) / PSV-8060-3X2_valve_(1) / PSV-8061-3X2_valve_(1) / PSV-8062-3X2_valve_(1)عدم نصب تجهیز FI-8001A,
4000-08,PI,4000-08-CWS-94-1118,PI_TP,,عدم نصب تجهیز FI-8001Cعدم نصب تجهیز FI-8001Aعدم اجرا ISO-37988ISO-37990,
4000-08,PI,4000-08-CWS-95-1119,PI_TP,,BV-102A-8_Valve_(1) / XV-8004-8_valve_(1),
